Year,Province,Use of Funds,Expenditure by Provincial/Territorial Government,Expenditure by Public Government,Total Expenditure,"Critical Illness rate (per 10,000 population)",Life Expectancy
2014,Prince Edward Island,Drugs,"3,26,97,080","3,53,78,260","6,80,75,340",624.6,80.95
2015,Prince Edward Island,Drugs,"3,26,28,697","3,51,38,327","6,77,67,024",636.1,81.28
2016,Prince Edward Island,Drugs,"3,53,81,862","3,75,77,956","7,29,59,818",612.7,81.76
2017,Prince Edward Island,Drugs,"3,74,81,636","3,95,70,118","7,70,51,754",637.8,81.88
2018,Prince Edward Island,Drugs,"3,75,88,107","3,96,35,689","7,72,23,796",597.7,81.77
2019,Prince Edward Island,Drugs,"4,01,25,466","4,22,68,752","8,23,94,218",645.1,81.58
2020,Prince Edward Island,Drugs,"4,10,61,048","4,48,71,326","8,59,32,374",625,81.8
2021,Prince Edward Island,Drugs,"4,46,53,732","4,95,45,905","9,41,99,637",650.7,81.86
2022,Prince Edward Island,Drugs,"4,82,63,140","5,34,41,563","10,17,04,703",675.5,82.01
2023,Prince Edward Island,Drugs,"6,09,79,065","6,63,17,017","12,72,96,082",680.2,82.1
2003,Prince Edward Island,Public Health,"2,34,52,940","2,78,61,844","5,13,14,784",512.56,78.75
2004,Prince Edward Island,Public Health,"2,19,63,354","2,65,30,895","4,84,94,249",535.6,78.95
2005,Prince Edward Island,Public Health,"2,28,56,203","2,74,62,678","5,03,18,882",550.5,79.38
2006,Prince Edward Island,Public Health,"2,33,32,995","2,81,59,380","5,14,92,375",558.5,79.66
2007,Prince Edward Island,Public Health,"2,35,13,290","2,87,17,972","5,22,31,262",617.2,80.09
2008,Prince Edward Island,Public Health,"2,53,66,979","3,06,89,890","5,60,56,869",594.7,80.13
2009,Prince Edward Island,Public Health,"3,01,83,298","3,63,38,390","6,65,21,688",600.5,80.08
2010,Prince Edward Island,Public Health,"3,10,57,935","3,65,37,099","6,75,95,034",575.4,80.44
2011,Prince Edward Island,Public Health,"3,27,22,633","3,91,26,899","7,18,49,532",611.5,80.56
2012,Prince Edward Island,Public Health,"3,45,33,693","4,09,67,983","7,55,01,675",623.2,80.88
2013,Prince Edward Island,Public Health,"3,43,25,948","4,05,86,134","7,49,12,082",618.3,80.73
2014,Prince Edward Island,Public Health,"3,34,10,356","3,98,45,032","7,32,55,388",624.6,80.95
2015,Prince Edward Island,Public Health,"3,69,83,599","4,33,76,590","8,03,60,190",636.1,81.28
2016,Prince Edward Island,Public Health,"3,94,73,401","4,60,15,716","8,54,89,118",612.7,81.76
2017,Prince Edward Island,Public Health,"4,15,48,038","4,84,71,285","9,00,19,322",637.8,81.88
2018,Prince Edward Island,Public Health,"4,50,28,679","5,27,41,060","9,77,69,739",597.7,81.77
2019,Prince Edward Island,Public Health,"5,15,69,387","6,10,27,079","11,25,96,466",645.1,81.58
2020,Prince Edward Island,Public Health,"6,28,83,443","7,32,55,232","13,61,38,675",625,81.8
2021,Prince Edward Island,Public Health,"7,76,79,760","9,00,79,827","16,77,59,587",650.7,81.86
2022,Prince Edward Island,Public Health,"9,12,32,513","10,45,34,873","19,57,67,386",675.5,82.01
2023,Prince Edward Island,Public Health,"12,01,51,541","13,39,86,566","25,41,38,107",680.2,82.1
2003,Prince Edward Island,Administration,"1,35,77,438","1,75,64,122","3,11,41,560",512.56,78.75
2004,Prince Edward Island,Administration,"1,41,46,006","1,90,66,960","3,32,12,967",535.6,78.95
2005,Prince Edward Island,Administration,"1,63,04,694","2,28,64,062","3,91,68,756",550.5,79.38
2006,Prince Edward Island,Administration,"1,35,50,029","2,05,20,762","3,40,70,791",558.5,79.66
2007,Prince Edward Island,Administration,"1,20,47,905","1,93,32,905","3,13,80,810",617.2,80.09
2008,Prince Edward Island,Administration,"1,54,54,006","2,30,03,163","3,84,57,169",594.7,80.13
2009,Prince Edward Island,Administration,"1,74,58,663","2,54,07,237","4,28,65,900",600.5,80.08
2010,Prince Edward Island,Administration,"1,90,57,430","2,71,78,718","4,62,36,148",575.4,80.44
2011,Prince Edward Island,Administration,"65,18,881","1,53,67,422","2,18,86,302",611.5,80.56
2012,Prince Edward Island,Administration,"24,40,982","1,18,25,794","1,42,66,776",623.2,80.88
2013,Prince Edward Island,Administration,"23,37,624","1,18,51,839","1,41,89,463",618.3,80.73
2014,Prince Edward Island,Administration,"18,93,525","1,11,76,011","1,30,69,536",624.6,80.95
2015,Prince Edward Island,Administration,"16,95,300","1,16,72,654","1,33,67,954",636.1,81.28
2016,Prince Edward Island,Administration,"13,73,753","1,22,63,448","1,36,37,202",612.7,81.76
2017,Prince Edward Island,Administration,"17,87,713","1,42,09,995","1,59,97,708",637.8,81.88
2018,Prince Edward Island,Administration,"16,97,827","1,55,78,754","1,72,76,580",597.7,81.77
2019,Prince Edward Island,Administration,"17,58,906","1,59,97,896","1,77,56,802",645.1,81.58
2020,Prince Edward Island,Administration,"17,02,337","1,65,73,375","1,82,75,712",625,81.8
2021,Prince Edward Island,Administration,"17,64,068","1,89,76,374","2,07,40,443",650.7,81.86
2022,Prince Edward Island,Administration,"13,16,679","1,96,60,394","2,09,77,073",675.5,82.01
2023,Prince Edward Island,Administration,"12,13,043","2,02,25,851","2,14,38,894",680.2,82.1
2003,Prince Edward Island,Other Health Spending: Net of HCC,"1,31,66,513","1,72,95,536","3,04,62,049",512.56,78.75
2004,Prince Edward Island,Other Health Spending: Net of HCC,"1,28,63,489","1,79,30,853","3,07,94,342",535.6,78.95
2005,Prince Edward Island,Other Health Spending: Net of HCC,"1,54,90,063","2,17,77,006","3,72,67,069",550.5,79.38
2006,Prince Edward Island,Other Health Spending: Net of HCC,"1,73,20,965","2,36,29,870","4,09,50,834",558.5,79.66
2007,Prince Edward Island,Other Health Spending: Net of HCC,"1,89,43,665","2,65,51,086","4,54,94,751",617.2,80.09
2008,Prince Edward Island,Other Health Spending: Net of HCC,"1,87,08,133","2,83,97,519","4,71,05,651",594.7,80.13
2009,Prince Edward Island,Other Health Spending: Net of HCC,"2,18,65,325","3,18,11,553","5,36,76,878",600.5,80.08
2010,Prince Edward Island,Other Health Spending: Net of HCC,"2,60,45,431","3,59,69,990","6,20,15,421",575.4,80.44
2011,Prince Edward Island,Other Health Spending: Net of HCC,"2,93,27,192","3,88,24,941","6,81,52,134",611.5,80.56
2012,Prince Edward Island,Other Health Spending: Net of HCC,"3,95,40,896","5,26,13,400","9,21,54,296",623.2,80.88
2013,Prince Edward Island,Other Health Spending: Net of HCC,"1,23,39,853","5,67,83,461","6,91,23,314",618.3,80.73
2014,Prince Edward Island,Other Health Spending: Net of HCC,"1,34,03,814","5,71,30,928","7,05,34,742",624.6,80.95
2015,Prince Edward Island,Other Health Spending: Net of HCC,"1,35,42,613","5,86,00,713","7,21,43,326",636.1,81.28
2016,Prince Edward Island,Other Health Spending: Net of HCC,"1,45,44,759","6,37,62,904","7,83,07,663",612.7,81.76
2017,Prince Edward Island,Other Health Spending: Net of HCC,"1,61,01,007","6,69,56,559","8,30,57,566",637.8,81.88
2018,Prince Edward Island,Other Health Spending: Net of HCC,"1,66,02,755","7,04,67,654","8,70,70,409",597.7,81.77
2019,Prince Edward Island,Other Health Spending: Net of HCC,"1,72,61,818","7,98,37,336","9,70,99,154",645.1,81.58
2020,Prince Edward Island,Other Health Spending: Net of HCC,"1,87,14,703","8,63,22,790","10,50,37,493",625,81.8
2021,Prince Edward Island,Other Health Spending: Net of HCC,"1,93,83,454","9,35,60,880","11,29,44,334",650.7,81.86
2022,Prince Edward Island,Other Health Spending: Net of HCC,"2,18,28,567","10,85,70,065","13,03,98,632",675.5,82.01
2023,Prince Edward Island,Other Health Spending: Net of HCC,"2,80,42,520","12,02,59,292","14,83,01,812",680.2,82.1
2003,Prince Edward Island,COVID-19 Response Funding,—,—,0,512.56,78.75
2004,Prince Edward Island,COVID-19 Response Funding,—,—,0,535.6,78.95
2005,Prince Edward Island,COVID-19 Response Funding,—,—,0,550.5,79.38
2006,Prince Edward Island,COVID-19 Response Funding,—,—,0,558.5,79.66
2007,Prince Edward Island,COVID-19 Response Funding,—,—,0,617.2,80.09
2008,Prince Edward Island,COVID-19 Response Funding,—,—,0,594.7,80.13
2009,Prince Edward Island,COVID-19 Response Funding,—,—,0,600.5,80.08
2010,Prince Edward Island,COVID-19 Response Funding,—,—,0,575.4,80.44
2011,Prince Edward Island,COVID-19 Response Funding,—,—,0,611.5,80.56
2012,Prince Edward Island,COVID-19 Response Funding,—,—,0,623.2,80.88
2013,Prince Edward Island,COVID-19 Response Funding,—,—,0,618.3,80.73
2014,Prince Edward Island,COVID-19 Response Funding,—,—,0,624.6,80.95
2015,Prince Edward Island,COVID-19 Response Funding,—,—,0,636.1,81.28
2016,Prince Edward Island,COVID-19 Response Funding,—,—,0,612.7,81.76
2017,Prince Edward Island,COVID-19 Response Funding,—,—,0,637.8,81.88
2018,Prince Edward Island,COVID-19 Response Funding,—,—,0,597.7,81.77
2019,Prince Edward Island,COVID-19 Response Funding,—,—,0,645.1,81.58
2020,Prince Edward Island,COVID-19 Response Funding,"1,41,75,600","7,29,45,034","8,71,20,634",625,81.8
2021,Prince Edward Island,COVID-19 Response Funding,"2,42,62,100","7,82,66,537","10,25,28,637",650.7,81.86
2022,Prince Edward Island,COVID-19 Response Funding,"65,12,300","1,82,55,370","2,47,67,670",675.5,82.01
2023,Prince Edward Island,COVID-19 Response Funding,—,—,0,680.2,82.1
2003,Prince Edward Island,Total,"35,44,58,218","37,63,35,621","73,07,93,839",512.56,78.75
2004,Prince Edward Island,Total,"34,77,62,773","37,12,36,516","71,89,99,289",535.6,78.95
2005,Prince Edward Island,Total,"37,12,82,658","39,76,05,774","76,88,88,432",550.5,79.38
2006,Prince Edward Island,Total,"38,56,55,399","41,34,35,096","79,90,90,495",558.5,79.66
2007,Prince Edward Island,Total,"41,89,28,924","44,95,75,027","86,85,03,951",617.2,80.09
2008,Prince Edward Island,Total,"45,25,90,530","48,65,53,832","93,91,44,362",594.7,80.13
2009,Prince Edward Island,Total,"50,89,58,732","54,46,13,285","1,05,35,72,018",600.5,80.08
2010,Prince Edward Island,Total,"56,02,36,058","59,49,46,744","1,15,51,82,802",575.4,80.44
2011,Prince Edward Island,Total,"61,70,63,074","65,39,41,327","1,27,10,04,401",611.5,80.56
2012,Prince Edward Island,Total,"62,92,71,021","67,11,50,763","1,30,04,21,784",623.2,80.88
2013,Prince Edward Island,Total,"63,31,82,867","67,81,89,735","1,31,13,72,602",618.3,80.73
2014,Prince Edward Island,Total,"63,46,46,832","67,83,60,128","1,31,30,06,960",624.6,80.95
2015,Prince Edward Island,Total,"64,95,92,899","69,45,64,686","1,34,41,57,585",636.1,81.28
2016,Prince Edward Island,Total,"67,52,72,670","72,36,03,498","1,39,88,76,168",612.7,81.76
2017,Prince Edward Island,Total,"70,77,83,077","75,83,35,481","1,46,61,18,558",637.8,81.88
2018,Prince Edward Island,Total,"74,29,49,496","79,71,22,601","1,54,00,72,098",597.7,81.77
2019,Prince Edward Island,Total,"78,61,30,535","84,63,07,421","1,63,24,37,956",645.1,81.58
2020,Prince Edward Island,Total,"82,09,51,603","94,24,29,906","1,76,33,81,510",625,81.8
2021,Prince Edward Island,Total,"88,88,01,241","1,00,74,83,627","1,89,62,84,867",650.7,81.86
2022,Prince Edward Island,Total,"97,59,94,619","1,05,48,05,769","2,03,08,00,387",675.5,82.01
2023,Prince Edward Island,Total,"1,08,78,26,133","1,15,72,31,247","2,24,50,57,379",680.2,82.1
2003,Nova Scotia,Hospitals,"1,08,99,40,649","1,12,83,39,770","2,21,82,80,419",523.76,78.67
2004,Nova Scotia,Hospitals,"1,13,58,40,902","1,17,57,72,215","2,31,16,13,117",543.7,78.98
2005,Nova Scotia,Hospitals,"1,21,56,90,066","1,25,85,20,371","2,47,42,10,437",576.8,79.11
2006,Nova Scotia,Hospitals,"1,33,85,74,347","1,38,84,59,993","2,72,70,34,340",622.1,79.4
2007,Nova Scotia,Hospitals,"1,42,54,06,942","1,47,73,42,689","2,90,27,49,631",617,79.58
2008,Nova Scotia,Hospitals,"1,50,22,33,046","1,55,27,92,164","3,05,50,25,211",596.2,79.78
2009,Nova Scotia,Hospitals,"1,59,42,20,870","1,64,57,23,294","3,23,99,44,164",592.6,79.94
2010,Nova Scotia,Hospitals,"1,65,82,32,983","1,71,15,30,651","3,36,97,63,633",625.2,80.17
2011,Nova Scotia,Hospitals,"1,67,82,80,637","1,73,37,21,497","3,41,20,02,134",612.8,80.25
2012,Nova Scotia,Hospitals,"1,70,40,72,007","1,76,39,06,485","3,46,79,78,492",646.8,80.34
2013,Nova Scotia,Hospitals,"1,76,94,11,640","1,82,56,41,145","3,59,50,52,785",654.9,80.37
2014,Nova Scotia,Hospitals,"1,83,42,20,426","1,89,16,53,015","3,72,58,73,441",651.5,80.48
2015,Nova Scotia,Hospitals,"1,86,04,94,110","1,91,97,34,839","3,78,02,28,949",674.2,80.35
2016,Nova Scotia,Hospitals,"1,87,80,00,871","1,94,00,05,525","3,81,80,06,396",680.8,80.43
2017,Nova Scotia,Hospitals,"1,94,10,16,810","1,99,98,22,192","3,94,08,39,002",694.2,80.41
2018,Nova Scotia,Hospitals,"1,99,89,64,177","2,05,90,71,649","4,05,80,35,825",674.1,80.47
2019,Nova Scotia,Hospitals,"2,10,16,49,024","2,15,75,48,717","4,25,91,97,740",651.8,80.39
2020,Nova Scotia,Hospitals,"2,22,35,48,975","2,27,80,93,847","4,50,16,42,822",660.9,80.46
2021,Nova Scotia,Hospitals,"2,25,80,53,027","2,31,74,23,721","4,57,54,76,748",650.7,80.57
2022,Nova Scotia,Hospitals,"2,58,79,23,704","2,64,06,75,179","5,22,85,98,883",656.4,80.63
2023,Nova Scotia,Hospitals,"2,91,24,19,157","2,96,42,04,679","5,87,66,23,837",657.8,80.68
2003,Nova Scotia,Physicians,"43,26,87,039","44,23,99,089","87,50,86,128",523.76,78.67
2004,Nova Scotia,Physicians,"48,50,22,187","49,47,67,843","97,97,90,030",543.7,78.98
2005,Nova Scotia,Physicians,"52,16,51,210","53,28,97,729","1,05,45,48,939",576.8,79.11
2006,Nova Scotia,Physicians,"55,37,69,307","56,91,37,507","1,12,29,06,814",622.1,79.4
2007,Nova Scotia,Physicians,"57,63,16,600","59,17,02,715","1,16,80,19,315",617,79.58
2008,Nova Scotia,Physicians,"60,17,00,682","61,51,01,905","1,21,68,02,587",596.2,79.78
2009,Nova Scotia,Physicians,"62,57,96,781","63,95,17,985","1,26,53,14,766",592.6,79.94
2010,Nova Scotia,Physicians,"68,63,12,601","70,11,56,006","1,38,74,68,606",625.2,80.17
2011,Nova Scotia,Physicians,"72,53,93,841","73,95,86,772","1,46,49,80,612",612.8,80.25
2012,Nova Scotia,Physicians,"74,71,28,989","76,19,05,999","1,50,90,34,988",646.8,80.34
2013,Nova Scotia,Physicians,"75,85,77,706","77,32,01,620","1,53,17,79,326",654.9,80.37
2014,Nova Scotia,Physicians,"79,33,07,778","80,72,08,069","1,60,05,15,846",651.5,80.48
2015,Nova Scotia,Physicians,"80,38,16,891","81,79,23,574","1,62,17,40,465",674.2,80.35
2016,Nova Scotia,Physicians,"80,72,11,516","82,27,11,050","1,62,99,22,566",680.8,80.43
2017,Nova Scotia,Physicians,"83,30,55,087","84,82,62,279","1,68,13,17,366",694.2,80.41
2018,Nova Scotia,Physicians,"85,96,61,665","87,76,44,708","1,73,73,06,373",674.1,80.47
2019,Nova Scotia,Physicians,"89,72,75,156","91,63,99,888","1,81,36,75,044",651.8,80.39
2020,Nova Scotia,Physicians,"94,05,17,512","96,37,93,113","1,90,43,10,625",660.9,80.46
2021,Nova Scotia,Physicians,"98,63,38,975","1,01,09,85,978","1,99,73,24,954",650.7,80.57
2022,Nova Scotia,Physicians,"1,03,90,84,791","1,06,40,55,301","2,10,31,40,092",656.4,80.63
2023,Nova Scotia,Physicians,"1,05,63,33,327","1,08,19,77,285","2,13,83,10,612",657.8,80.68
2003,Nova Scotia,Other Professionals,"86,92,275","2,57,15,888","3,44,08,163",523.76,78.67
2004,Nova Scotia,Other Professionals,"89,76,250","2,55,57,422","3,45,33,672",543.7,78.98
2005,Nova Scotia,Other Professionals,"95,94,301","2,86,53,213","3,82,47,513",576.8,79.11
2006,Nova Scotia,Other Professionals,"99,13,231","4,27,91,396","5,27,04,628",622.1,79.4
2007,Nova Scotia,Other Professionals,"1,03,07,352","4,21,00,017","5,24,07,369",617,79.58
2008,Nova Scotia,Other Professionals,"1,10,32,451","4,07,18,313","5,17,50,764",596.2,79.78
2009,Nova Scotia,Other Professionals,"1,14,58,169","4,06,15,165","5,20,73,334",592.6,79.94
2010,Nova Scotia,Other Professionals,"1,26,99,698","4,29,13,349","5,56,13,047",625.2,80.17
2011,Nova Scotia,Other Professionals,"1,30,08,044","4,26,08,879","5,56,16,923",612.8,80.25
2012,Nova Scotia,Other Professionals,"1,38,32,044","4,50,22,620","5,88,54,664",646.8,80.34
2013,Nova Scotia,Other Professionals,"1,48,54,079","4,47,74,908","5,96,28,987",654.9,80.37
2014,Nova Scotia,Other Professionals,"1,66,68,649","4,63,31,657","6,30,00,306",651.5,80.48
2015,Nova Scotia,Other Professionals,"1,82,32,688","4,89,17,723","6,71,50,411",674.2,80.35
2016,Nova Scotia,Other Professionals,"1,87,54,962","5,14,39,786","7,01,94,747",680.8,80.43
2017,Nova Scotia,Other Professionals,"1,89,34,346","5,05,58,767","6,94,93,114",694.2,80.41
2018,Nova Scotia,Other Professionals,"1,97,53,476","5,44,08,665","7,41,62,141",674.1,80.47
2019,Nova Scotia,Other Professionals,"1,99,86,817","5,72,46,137","7,72,32,954",651.8,80.39
2020,Nova Scotia,Other Professionals,"1,78,93,376","5,30,08,352","7,09,01,728",660.9,80.46
2021,Nova Scotia,Other Professionals,"1,93,01,422","5,94,96,274","7,87,97,696",650.7,80.57
2022,Nova Scotia,Other Professionals,"1,78,67,861","6,05,00,124","7,83,67,985",656.4,80.63
2023,Nova Scotia,Other Professionals,"2,06,64,042","6,52,79,052","8,59,43,094",657.8,80.68
2003,Nova Scotia,Drugs,"15,61,93,662","18,45,99,574","34,07,93,236",523.76,78.67
2004,Nova Scotia,Drugs,"16,99,79,825","19,94,00,266","36,93,80,091",543.7,78.98
2005,Nova Scotia,Drugs,"18,60,51,832","21,68,12,513","40,28,64,345",576.8,79.11
2006,Nova Scotia,Drugs,"19,96,26,617","23,91,39,944","43,87,66,561",622.1,79.4
2007,Nova Scotia,Drugs,"20,73,73,475","24,33,69,396","45,07,42,871",617,79.58
2008,Nova Scotia,Drugs,"22,07,96,809","25,58,33,187","47,66,29,996",596.2,79.78
2009,Nova Scotia,Drugs,"24,39,04,700","27,90,56,623","52,29,61,323",592.6,79.94
2010,Nova Scotia,Drugs,"25,80,47,609","29,58,17,904","55,38,65,512",625.2,80.17
2011,Nova Scotia,Drugs,"26,80,03,887","30,63,51,251","57,43,55,138",612.8,80.25
2012,Nova Scotia,Drugs,"26,53,23,705","30,34,17,582","56,87,41,287",646.8,80.34
2013,Nova Scotia,Drugs,"26,87,25,890","30,42,49,059","57,29,74,949",654.9,80.37
2014,Nova Scotia,Drugs,"26,65,78,657","29,93,50,063","56,59,28,720",651.5,80.48
2015,Nova Scotia,Drugs,"27,40,14,131","30,61,49,150","58,01,63,281",674.2,80.35
2016,Nova Scotia,Drugs,"27,61,21,166","30,41,52,294","58,02,73,460",680.8,80.43
2017,Nova Scotia,Drugs,"28,65,11,275","31,24,87,429","59,89,98,704",694.2,80.41
2018,Nova Scotia,Drugs,"29,72,68,957","32,37,80,944","62,10,49,902",674.1,80.47
2019,Nova Scotia,Drugs,"31,23,05,496","34,09,75,394","65,32,80,890",651.8,80.39
2020,Nova Scotia,Drugs,"32,21,42,033","36,82,43,438","69,03,85,471",660.9,80.46
2021,Nova Scotia,Drugs,"32,54,59,481","38,57,50,391","71,12,09,872",650.7,80.57
2022,Nova Scotia,Drugs,"33,07,41,157","39,49,87,268","72,57,28,425",656.4,80.63
2023,Nova Scotia,Drugs,"34,84,96,332","41,44,56,807","76,29,53,139",657.8,80.68
2003,Nova Scotia,Public Health,"3,92,80,912","7,68,99,028","11,61,79,940",523.76,78.67
2004,Nova Scotia,Public Health,"3,58,60,389","7,62,95,591","11,21,55,980",543.7,78.98
2005,Nova Scotia,Public Health,"4,36,67,537","8,67,17,568","13,03,85,104",576.8,79.11
2006,Nova Scotia,Public Health,"9,37,69,328","13,50,53,570","22,88,22,898",622.1,79.4
2007,Nova Scotia,Public Health,"12,11,20,213","16,64,37,438","28,75,57,650",617,79.58
2008,Nova Scotia,Public Health,"12,60,82,996","17,47,35,731","30,08,18,726",596.2,79.78
2009,Nova Scotia,Public Health,"13,42,92,292","19,01,14,446","32,44,06,738",592.6,79.94
2010,Nova Scotia,Public Health,"14,93,80,009","19,98,90,189","34,92,70,199",625.2,80.17
2011,Nova Scotia,Public Health,"11,90,64,771","17,14,18,942","29,04,83,712",612.8,80.25
2012,Nova Scotia,Public Health,"11,05,41,816","16,94,08,542","27,99,50,358",646.8,80.34
2013,Nova Scotia,Public Health,"9,79,62,958","15,78,88,132","25,58,51,090",654.9,80.37
2014,Nova Scotia,Public Health,"9,51,24,216","15,84,14,139","25,35,38,355",651.5,80.48
